"fdc_id","description","Calories","Carbohydrate","Protein","Fats","Sugars","sugar_was_estimated"
167512,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",1286,41.18,5.88,13.24,5.88,FALSE
167513,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",1381,53.42,4.34,11.27,21.34,FALSE
167514,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",1577,79.8,6.1,3.7,15.96,TRUE
167515,"George Weston Bakeries, Thomas English Muffins",972,46,8,1.8,9.2,TRUE
167516,"Waffles, buttermilk, frozen, ready-to-heat",1144,41.05,6.58,9.22,4.3,FALSE
167517,"Waffle, buttermilk, frozen, ready-to-heat, toasted",1291,48.39,7.42,9.49,4.41,FALSE
167518,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",289,44.16,6.92,9.4,4.5,FALSE
167519,"Waffle, plain, frozen, ready-to-heat, microwave",298,45.41,6.71,9.91,5.04,FALSE
167520,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",2097,64.3,5.1,24.83,18.13,FALSE
167521,"Pie Crust, Cookie-type, Chocolate, Ready Crust",484,64.48,6.08,22.42,26.31,FALSE
167522,"Pie, Dutch Apple, Commercially Prepared",1215,44.54,2.17,11.5,22.02,FALSE
167523,"Pie crust, deep dish, frozen, unbaked, made with enriched flour",468,46.79,5.52,28.74,3.69,FALSE
167524,"Waffles, chocolate chip, frozen, ready-to-heat",297,45.68,5.8,10.1,13.1,FALSE
167525,"Tostada shells, corn",474,64.43,6.15,23.38,3.23,FALSE
167526,"Bread, salvadoran sweet cheese (quesadilla salvadorena)",1564,47.84,7.12,17.12,24.9,FALSE
167527,"Bread, pound cake type, pan de torta salvadoran",1634,51.29,7.06,17.45,18.1,FALSE
167528,"Pastry, Pastelitos de Guava (guava pastries)",379,47.76,5.48,18.5,17,FALSE
167529,"Crackers, snack, Goya Crackers",1812,64.35,14.25,13.35,2.35,FALSE
167530,"Crackers, cream, Gamesa Sabrosas",484,64.55,7.01,20.37,9.37,FALSE
167531,"Crackers, cream, La Moderna Rikis Cream Crackers",1941,64.88,7.19,19.5,10.41,FALSE
167532,"Bread, white wheat",994,43.91,10.66,2.15,5,FALSE
167533,"Bagels, wheat",250,48.89,10.2,1.53,6.12,FALSE
167534,"Cream puff, eclair, custard or cream filled, iced",1398,37.43,4.41,18.52,22.05,FALSE
167535,"Tortillas, ready-to-bake or -fry, flour, shelf stable",1244,49.27,8.01,7.58,2.66,FALSE
167536,"Snacks, beef jerky, chopped and formed",1715,11,33.2,25.6,9,FALSE
167537,"Snacks, corn-based, extruded, chips, plain",2256,57.27,6.17,33.36,0.27,FALSE
167538,"Snacks, corn-based, extruded, chips, barbecue-flavor",2188,56.2,7,32.7,11.24,TRUE
167539,"Snacks, corn-based, extruded, cones, plain",510,62.9,5.8,26.9,12.58,TRUE
167540,"Snacks, fruit leather, pieces",359,82.82,1,2.68,57.58,FALSE
167541,"Snacks, fruit leather, rolls",1551,85.8,0.1,3,49.16,FALSE
167542,"Snacks, granola bars, hard, plain",1972,64.4,10.1,19.8,28.57,FALSE
167543,"Snacks, granola bars, hard, almond",2071,62,7.7,25.5,12.4,TRUE
167544,"Snacks, granola bars, soft, uncoated, raisin",448,66.4,7.6,17.8,13.28,TRUE
167545,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",1950,63.8,5.8,24.9,12.76,TRUE
167546,"Candies, honey-combed, with peanut butter",473,67.41,8.72,20.18,62.68,FALSE
167547,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",508,53.4,10.2,31.1,23.74,FALSE
167548,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",1807,62.2,9.8,20,12.44,TRUE
167549,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",2440,45.06,7.29,43.55,0.46,FALSE
167550,"Snacks, popcorn, cakes",1607,80.1,9.7,3.1,0.72,FALSE
167551,"Snacks, popcorn, caramel-coated, with peanuts",1674,80.7,6.4,7.8,45.36,FALSE
167552,"Snacks, popcorn, caramel-coated, without peanuts",1803,79.1,3.8,12.8,53.19,FALSE
167553,"Snacks, potato chips, made from dried potatoes, reduced fat",502,64.76,4.56,26.14,0.63,FALSE
